"""0"", ""Berlin"", ""52.516667"", ""13.4"", ""Germany"", ""DE"", ""Berlin"", ""primary"", ""3406000"", ""3094014"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Stuttgart"", ""48.782343"", ""9.180819"", ""Germany"", ""DE"", ""Stuttgart"", ""admin"", ""2944700"", ""606588"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Frankfurt"", ""50.11552"", ""8.684167"", ""Germany"", ""DE"", ""Frankfurt"", ""minor"", ""2895000"", ""679664"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Mannheim"", ""49.496706"", ""8.479547"", ""Germany"", ""DE"", ""Mannheim"", ""minor"", ""2362000"", ""313174"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Hamburg"", ""53.575323"", ""10.01534"", ""Germany"", ""DE"", ""Hamburg"", ""admin"", ""1757000"", ""1739117"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Essen"", ""51.45657"", ""7.012282"", ""Germany"", ""DE"", ""Essen"", ""minor"", ""1742135"", ""573468"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Duisburg"", ""51.432469"", ""6.765161"", ""Germany"", ""DE"", ""Duisburg"", ""minor"", ""1276757"", ""488005"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Munich"", ""48.15"", ""11.583333"", ""Germany"", ""DE"", ""Munich"", ""admin"", ""1275000"", ""1260391"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Duesseldorf"", ""51.228304"", ""6.793849"", ""Germany"", ""DE"", ""Duesseldorf"", ""admin"", ""1220000"", ""592393"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Cologne"", ""50.933333"", ""6.95"", ""Germany"", ""DE"", ""Cologne"", """", ""1004000"", ""963395"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Wuppertal"", ""51.270268"", ""7.167553"", ""Germany"", ""DE"", ""Wuppertal"", ""minor"", ""776525"", ""349470"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Saarbruecken"", ""49.235396"", ""6.981646"", ""Germany"", ""DE"", ""Saarbruecken"", ""admin"", ""770001"", ""175741"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Marienberg"", ""49.486021"", ""11.086156"", ""Germany"", ""DE"", ""Marienberg"", """", ""737304"", ""499237"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Bremen"", ""53.073789"", ""8.826754"", ""Germany"", ""DE"", ""Bremen"", ""admin"", ""724909"", ""546501"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Hannover"", ""52.38497"", ""9.737141"", ""Germany"", ""DE"", ""Hannover"", ""admin"", ""722490"", ""515140"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Bonn"", ""50.73438"", ""7.095485"", ""Germany"", ""DE"", ""Bonn"", ""minor"", ""680543"", ""313125"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Dresden"", ""51.048562"", ""13.745794"", ""Germany"", ""DE"", ""Dresden"", ""admin"", ""617515"", ""486854"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Wiesbaden"", ""50.082582"", ""8.249322"", ""Germany"", ""DE"", ""Wiesbaden"", ""admin"", ""617126"", ""272432"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Dortmund"", ""51.514942"", ""7.465997"", ""Germany"", ""DE"", ""Dortmund"", ""minor"", ""588462"", ""588462"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Leipzig"", ""51.34419"", ""12.386504"", ""Germany"", ""DE"", ""Leipzig"", ""minor"", ""542529"", ""504971"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Heidelberg"", ""49.404123"", ""8.683733"", ""Germany"", ""DE"", ""Heidelberg"", ""minor"", ""426590"", ""143345"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Karlsruhe"", ""49.009365"", ""8.40444"", ""Germany"", ""DE"", ""Karlsruhe"", ""minor"", ""377487"", ""283799"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Augsburg"", ""48.371538"", ""10.898514"", ""Germany"", ""DE"", ""Augsburg"", ""minor"", ""358989"", ""259196"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Bielefeld"", ""52.028332"", ""8.542002"", ""Germany"", ""DE"", ""Bielefeld"", ""minor"", ""331906"", ""291573"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Koblenz"", ""50.353573"", ""7.578835"", ""Germany"", ""DE"", ""Koblenz"", ""minor"", ""312633"", ""107319"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Altchemnitz"", ""50.811536"", ""12.912827"", ""Germany"", ""DE"", ""Altchemnitz"", """", ""302643"", ""247220"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Kassel"", ""51.313782"", ""9.484645"", ""Germany"", ""DE"", ""Kassel"", ""minor"", ""289924"", ""194501"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Muenster"", ""51.961114"", ""7.624239"", ""Germany"", ""DE"", ""Muenster"", ""minor"", ""270184"", ""237041"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Kiel"", ""54.312145"", ""10.135526"", ""Germany"", ""DE"", ""Kiel"", ""admin"", ""269427"", ""232758"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Freiburg"", ""47.996861"", ""7.84973"", ""Germany"", ""DE"", ""Freiburg"", ""minor"", ""254889"", ""215966"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Braunschweig"", ""52.265939"", ""10.526726"", ""Germany"", ""DE"", ""Braunschweig"", ""minor"", ""244715"", ""235054"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Fuerth"", ""49.48121"", ""10.96762"", ""Germany"", ""DE"", ""Fuerth"", ""minor"", ""237844"", ""112025"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Luebeck"", ""53.86687"", ""10.688367"", ""Germany"", ""DE"", ""Luebeck"", ""minor"", ""235390"", ""212207"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Osnabrueck"", ""52.272642"", ""8.049799"", ""Germany"", ""DE"", ""Osnabrueck"", ""minor"", ""231268"", ""166462"", ""2020-08-20"", ""2020-08-20"""
"""0"", ""Magdeburg"", ""52.127731"", ""11.629163"", ""Germany"", ""DE"", ""Magdeburg"", ""admin"", ""229826"", ""224931"", ""2020-08-20"", ""2020-08-20"""
